僲	亻 覀 舛
𠔟	八 隻 
𠔠	分 亟 
𠔨	乆 兼 
𠔯	八 菐 
𠔲	八 𠆢 公 儿 夫 
𠔶	其 真 
𠔸	冨 其 
𠔹	𦥯 共 
𠔺	兼 咸 
𠔼	冂 一 
𠔽	冂 冂 
𠔾	𰃦 一 
𠕁	冂 卄 
𠕃	冂 亡 
𠕅	一 冄 
𠕊	𠔼 丁 
𠕋	冂 井 
𠕌	冂 日 
𠕍	丶 冂 𢌬 
𠕐	冂 出 
𠕑	冂 亠 口 
𠕕	冂 叧 
𠕖	⺜ 木 
𠕘	冂 丶 丶 丶 小 
𠕛	⺆ 丰 口 
𠕝	⺜ 多 
𠕟	冉 占 
𠕠	⺜ 成 
𠕣	⺜ 臽 
𠕤	⺜ 兔 
𠕥	⺜ 到 
𠕦	⺜ 俞 
𠕧	知 冋 
𠕨	冏 余 
𠕩	冎 卑 
𠕭	⺜ 棹 
𠕮	⺜ 糸 彳 于 
𠕰	⺜ 爾 
𠕳	冖 入 
𠕴	冖 九 
𠕸	冖 夂 
𠕻	冖 元 
𠕿	冖 化 
𠖂	𠕴 幺 
𠖄	冖 同 
𠖆	冖 日 𠤎 
𠖋	冖 八 田 
𠖓	冖 思 
𠖛	冖 聊 
𠖟	冖 剽 
𠖥	冖 龍 
𠖫	冖 贑 
𠖬	冫 ⺃ 
𠖶	冫 心 
𠖷	冫 冋 
𠖹	冫 甲 
𠗂	冫 各 
𠗈	冫 求 
𠗉	冫 夾 
𠗊	冫 巠 
𠗋	冫 忍 
𠗌	冫 克 
𠗏	冫 身 
𠗘	冫 典 
𠗙	冫 函 
𠗚	冫 卒 
𠗛	冫 𣏋 
𠗝	冫 㸒 
𠗥	冫 音 
𠗦	冫 𮩴 
𠗨	冫 枼 
𠗳	冫 兼 
𠗴	冫 圅 
𠗵	冫 旁 
𠗶	冫 唐 
𠗺	冫 移 
𠗻	冫 堅 
𠗼	冫 戚 
𠗽	冫 翏 
𠗾	冫 爽 
𠗿	冫 參 
𠘁	冫 部 
𠘂	冫 欶 
𠘅	冫 禽 
𠘆	冫 森 
𠘊	冫 農 
𠘋	冫 鼎 
𠘌	冫 畺 
𠘕	冫 熙 
𠘖	冫 質 
𠘝	冫 賴 
𠘞	冫 隷 
𠘟	冫 歷 
𠘢	冫 鹵 舟 
𠘣	冫 爵 
𠘪	⺇ 九 
𠘱	⺇ 彡 
𠘳	⺇ 山 
𠘺	𠫓 几 
𠙁	正 几 
𠙂	几 只 
𠙆	𠫤 几 
𠙎	朱 几 
𠙔	⺇ 白 工 
𠙕	⺇ 出 口 
𠙞	要 几 
𠙠	𠆢 𠈌 几 
𠙤	几 接 
𠙬	⺇ 𢆶 䖝 
𠙼	凵 口 
𠚃	一 凵 口 
𠚄	凵 仌 
𠚅	凵 公 
𠚆	凹 丨 
𠚉	凵 禾 
𠚊	凵 必 
𠚓	凵 又 吉 
𠚔	龴 一 凵 合 
𠚠	凵 𭥭 𭥭 
𠚣	㇉ 丿 
𠚥	刀 刂 
𠚧	二 刂 
𠚨	丩 刀 
𠚭	勺 刂 
𠚮	刀 乞 
𠚯	兀 刂 
𠚱	𠧒 刀 
𠚳	广 刂 
𠚴	巛 刂 
𠚵	及 刂 
𠚹	殳 刂 
𠚺	少 刂 
𠚻	𠂉 刁 刂 
𠚼	分 刂 
𠚽	支 刂 
𠛀	公 刂 
𠛃	龵 刂 
𠛆	乌 刂 
𠛊	氏 刂 
𠛋	巴 刂 
𠛎	句 刂 
𠛑	玄 刂 
𠛒	瓜 刂 
𠛓	卯 刂 
𠛔	𠂔 刂 
𠛕	屶 刂 
𠛖	𬺻 刂 
𠛘	大 乃 刂 
𠛙	北 刂 
𠛚	又 巾 刂 
𠛡	必 刂 
𠛢	乍 刂 
𠛥	丙 刂 
𠛦	丿 尢 丶 刂 
𠛩	糹 刂 
𠛪	兆 刂 
𠛫	多 刂 
𠛬	幵 刂 
𠛭	因 刂 
𠛮	全 刂 
𠛱	𡿪 刂 
𠛳	亥 刀 
𠛵	艮 刂 
𠛶	八 文 刂 
𠛸	中 分 
𠜁	夷 刂 
𠜃	臼 刂 
𠜄	血 刂 
𠜅	交 刂 
𠜈	聿 刂 
𠜉	丞 刂 
𠜋	𠆢 丑 刂 
𠜎	先 刂 
𠜐	⺊ 𠕁 刂 
𠜑	兌 刂 
𠜖	寽 刂 
𠜗	希 刂 
𠜙	甫 刂 
𠜤	圭 刃 
𠜲	亞 刂 
𠜳	朋 刂 
𠜴	果 刂 
𠜵	㓞 夬 
𠜶	𣥕 刂 
𠜹	𰥍 刂 
𠜼	臽 刂 
𠜾	屈 刂 
𠝄	爫 勿 刂 
𠝐	花 刂 
𠝑	𫵖 刂 
𠝘	备 刂 
𠝚	龷 木 刂 
𠝛	去 口 刂 
𠝝	枼 刂 
𠝞	臿 刂 
𠝟	英 刂 
𠝢	弇 刂 
𠝤	重 刂 
𠝨	彳 刹 
𠝪	処 口 刂 
𠝬	叜 刂 
𠝲	香 刂 
𠝳	宣 刂 
𠝽	刀 夗 曰 
𠞀	窋 刂 
𠞃	芻 刂 
𠞄	虒 刂 
𠞆	烏 刂 
𠞈	⺜ 羽 刂 
𠞉	栗 刂 
𠞊	差 刂 
𠞕	重 刃 
𠞖	貢 刂 
𠞗	去 去 刂 
𠞙	禾 尒 刂 
𠞞	舀 刂 
𠞤	巛 冂 氺 刂 
𠞧	麻 刀 
𠞩	率 刂 
𠞬	袞 刂 
𠞭	婁 刂 
𠞮	爽 刂 
𠞯	雪 刂 
𠞰	巢 刀 
𠞱	堇 刂 
𠞵	⺫ 伐 刂 
𠞶	啇 刂 
𠞾	彳 釗 
𠞿	𧴵 刂 
𠟂	曾 刂 
𠟄	厤 刀 
𠟅	䇪 刂 
𠟈	敝 刀 
𠟉	孱 刂 
𠟊	翕 刂 
𠟋	堯 刂 
𠟍	童 刂 
𠟓	貲 刂 
𠟗	⻀ 冖 𢀛 刂 
𠟟	詈 刂 
𠟣	幾 刂 
𠟦	瑟 刂 
𠟧	詹 刂 
𠟨	零 刂 
𠟩	嗇 刂 
𠟪	業 刂 
𠟰	𥇛 刂 
𠟶	窟 刂 
𠟺	需 刂 
𠟻	貝 貝 刂 
𠠁	㬎 刂 
𠠃	从 一 韭 刂 
𠠄	走 削 
𠠋	𣦼 則 
𠠍	黎 刂 
𠠎	廣 刂 
𠠏	厲 刂 
𠠐	壽 刃 
𠠔	賣 刀 
𠠗	巤 刂 
𠠜	罃 刂 
𠠝	歷 刂 
𠠠	賣 刃 
𠠢	霝 刀 
𠠪	䜌 刀 
𠠯	疊 刂 
𠠳	丩 力 
𠠵	九 力 
𠠶	乞 力 
𠠷	𠃔 力 
𠠹	冘 力 
𠡀	丆 又 力 
𠡂	弗 力 
𠡄	皮 力 
𠡊	𡗜 力 
𠡑	汋 力 
𠡒	𠂤 力 
𠡔	巛 万 力 
𠡜	充 力 
𠡝	𡿪 力 
𠡞	皃 力 
𠡡	𣦼 力 
𠡣	更 力 
𠡤	㐬 力 
𠡥	力 兵 
𠡭	夌 力 
𠡮	朋 力 
𠡱	⺌ 旦 力 
𠡶	劵 力 
𠡷	劦 木 
𠡸	事 力 
𠡻	怱 力 
𠢃	昜 力 
𠢆	害 力 
𠢇	𠦝 𠂉 力 
𠢌	𡗗 劭 
𠢍	虔 力 
𠢓	莫 力 
𠢔	區 力 
𠢕	敖 力 
𠢙	笞 力 
𠢚	眷 力 
𠢛	弓 受 力 
𠢠	棘 力 
𠢡	答 力 
𠢢	柔 幼 
𠢣	劣 典 
𠢤	厥 力 
𠢥	費 力 
𠢩	堯 力 
𠢪	敝 力 
𠢱	禁 力 
𠢲	解 力 
𠢳	嗇 力 
𠢴	⺈ 黒 力 
𠢵	禁 力 
𠢹	廣 力 
𠣄	毚 力 
𠣇	劣 輦 
𠣉	需 勉 
𠣊	非 慮 力 
𠣐	勹 亠 丿 
𠣑	勹 元 
𠣒	勹 仁 
𠣕	勹 主 
𠣖	勹 玄 
𠣘	勹 舟 
𠣠	勹 ⺊ 𠕁 
𠣡	勹 八 旦 
𠣫	召 句 
𠣬	旬 八 丂 
𠣰	勹 者 
𠣲	勹 艹 𠙽 
𠣳	卓 勺 
𠣺	冫 匕 木 包 
𠣾	勹 復 
𠣿	勹 㲃 
𠤀	⺈ 目 夂 勿 
𠤄	勹 竹 幸 
𠤊	勹 窮 
𠤍	勹 雚 
𠤎	乚 丿 
𠤏	匕 十 
𠤕	匕 矢 
𠤘	匕 矣 
𠤝	龸 二 匕 
𠤦	北 穴 允 
𠤮	匚 今 
𠤰	匚 公 
𠤴	匚 只 
𠤹	匚 全 
𠤼	匚 攸 
𠤾	匚 吟 
𠥇	匸 言 
𠥊	匚 其 
𠥍	匚 阿 
𠥎	匚 韋 
𠥐	匚 倉 
𠥑	匚 條 
𠥕	匚 盍 
𠥖	匚 帶 
𠥘	匚 𧴵 
𠥙	匚 尊 
𠥜	匚 歇 
𠥝	匚 品 殳 
𠥞	匚 ⺊ 目 全 
𠥢	匚 舞 
𠥦	匚 翼 
𠥧	𠥓 否 
𠥨	匚 蟲 
𠥩	𠥓 其 
𠥪	𠥓 舀 
𠥫	𠥓 臱 
𠥰	匸 卯 
𠥴	匸 汵 
𠥿	㔾 十 
𠦃	十 卄 
𠦈	井 十 
𠦊	云 十 
𠦋	上 千 
𠦌	卄 卄 
𠦎	八 八 十 
𠦏	十 从 
𠦐	十 𠘬 
𠦗	十 㠯 
𠦜	廿 廿 
𠦡	土 𢆉 
𠦧	幸 十 
𠦨	⺈ 屮 𠚣 十 
𠦪	𠦄 夲 
𠦫	咠 十 
𠦬	千 𠈌 
𠦲	卓 升 
𠧀	獁 十 
𠧅	咼 卑 
𠧇	卓 舁 
𠧒	⺊ 乙 
𠧕	上 尸 
𠧖	⺊ 贝 
𠧙	召 卜 
𠧚	⺊ 囚 
𠧛	上 尺 
𠧞	兆 卜 
𠧟	𠃊 卤 
𠧠	𠃊 卣 
𠧩	每 卜 
𠧫	⺊ 日 夂 
𠧰	⺊ 冂 二 口 
𠧴	𠃊 𠧪 
𠧵	𠧚 大 
𠧿	⺊ 𦉪 失 
𠨃	男 外 
𠨆	⺊ 𦉪 工 丙 
𠨊	冓 外 
𠨎	㔾 㔾 
𠨐	匕 卩 
𠨒	比 卩 
𠨘	必 卩 
𠨚	希 卩 
𠨠	即 久 
𠨢	危 夋 
𠨥	𠂎 聊 
𠨭	厂 𰀁 
𠨲	屮 厂 
𠨵	厂 丰 
𠨻	厂 殳 
𠨾	厂 手 
𠨿	厂 氏 
𠩂	厂 去 
𠩄	厂 リ 𠂉 亅 
𠩆	厂 此 
𠩈	厂 主 
𠩉	厂 出 
𠩏	厂 尗 
𠩔	灰 𠤎 
𠩕	厂 米 
𠩗	厂 㳄 
𠩘	厂 夾 
𠩠	厂 貝 
𠩥	厂 呈 
𠩧	厂 今 止 
𠩪	厂 刺 
𠩫	厂 兒 
𠩵	厂 林 
𠩷	厂 典 
𠩺	未 攵 厂 
𠩿	厂 𭺾 
𠪂	厂 扁 
𠪃	厂 眉 
𠪄	厂 苗 
𠪇	厂 叟 
𠪐	厂 留 
𠪑	厂 埶 
𠪒	厂 口 金 
𠪗	厂 䚿 
𠪘	厂 𣪏 
𠪙	厂 異 
𠪚	厂 敢 
𠪟	厂 艮 缶 
𠪢	厂 欽 
𠪣	厂 散 
𠪧	厂 巴 果 
𠪮	厂 辟 
𠪲	厂 勤 
𠪶	厂 死 豆 
𠪷	厂 暈 
𠪺	厤 分 
𠫃	厂 幸 罙 
𠫄	厂 羊 丷 口 令 
𠫉	厂 顚 
𠫎	厂 䀠 犬 金 
𠫐	厂 灥 
𠫓	厶 一 
𠫘	厶 十 
𠫛	厶 𠫔 
𠫜	厶 ⺄ 力 
𠫝	厶 𫶧 
𠫣	厶 内 
𠫤	㐅 厷 
𠫨	厸 凡 
𠫮	厶 日 几 
𠫶	厶 里 
𠫷	𠫤 丸 
𠫸	厶 厶 丨 丨 厶 丨 
𠬆	㕕 小 糸 
𠬈	去 卑 
𠬋	厸 星 
𠬓	㕘 兄 
𠬙	參 兩 
𠬛	刀 又 
𠬝	卩 又 
𠬞	丩 又 
𠬢	屮 又 
𠬪	爫 又 
𠬬	八 及 
𠬮	𠃜 又 
𠬶	⺕ 冖 又 
𠬸	囘 又 
𠬾	又 𢆶 
𠭈	司 冖 又 
𠭉	⺊ 用 又 
𠭋	叕 㔾 
𠭖	爫 又 古 
𠭘	𣦼 井 
𠭙	𢑚 又 
𠭥	祟 又 
𠭯	虘 又 
𠭰	𠩺 又 
𠭴	叕 出 
𠭹	貞 㕛 
𠭿	一 勿 日 巾 又 
𠮃	辟 又 
𠮆	双 敗 
𠮊	㝵 取 
𠮌	叕 臽 
𠮑	鞠 又 
𠮙	口 乙 
𠮜	口 ⺃ 
𠮟	口 七 
𠮡	口 二 
𠮦	丷 口 
𠮭	口 勺 
𠮯	己 口 
𠮰	口 巛 
𠮱	口 亏 
𠮳	上 口 
𠮴	下 口 
𠮵	口 上 
𠮷	土 口 
𠮹	口 才 
𠮽	口 廾 
𠮾	口 兀 
𠮿	口 山 
𠯀	口 川 
𠯂	口 子 
𠯃	𠙼 亅 
𠯄	口 刃 
𠯈	口 大 
𠯉	召 一 
𠯋	口 兮 
𠯍	口 冄 
𠯐	口 日 
𠯑	氏 口 
𠯓	斤 口 
𠯔	口 匹 
𠯗	口 帀 
𠯘	口 反 
𠯙	口 尐 
𠯜	口 勾 
𠯣	口 之 
𠯩	口 扎 
𠯪	口 歹 
𠯫	口 戈 
𠯭	口 日 
𠯯	口 片 
𠯰	口 什 
𠯱	口 入 入 
𠯲	口 月 
𠯳	勿 口 
𠯴	口 卞 
𠯷	口 乃 厶 
𠯸	口 厂 丁 
𠯹	口 仍 
𠯿	口 六 
𠰄	口 予 
𠰅	口 手 
𠰈	口 弘 
𠰉	口 召 
𠰋	口 丘 
𠰍	口 主 
𠰏	口 乏 
𠰐	口 叵 
𠰑	口 厈 
𠰓	口 禾 
𠰕	出 口 
𠰖	口 𦫼 
𠰚	口 𠂉 小 
𠰛	山 古 
𠰢	口 半 
𠰳	口 丙 
𠰴	口 石 
𠰹	口 㐌 
𠰺	口 代 
𠰻	口 外 
𠰼	口 市 
𠰽	口 宂 
𠰾	口 凥 
𠱀	口 皮 
𠱐	口 呉 
𠱑	口 大 口 
𠱓	口 危 
𠱔	口 守 
𠱗	亠 口 冄 
𠱘	口 屰 
𠱙	口 尗 
𠱚	口 𠧗 
𠱛	刀 冏 
𠱜	口 存 
𠱝	口 䏍 
𠱞	口 杂 
𠱡	口 𠕋 
𠱤	口 耒 
𠱥	口 卉 
𠱧	𠇊 口 
𠱨	口 𠃨 
𠱯	吅 工 
𠱲	口 𢑑 
𠱳	口 弜 
𠲊	口 土 夂 
𠲋	口 朿 
𠲌	口 戍 
𠲍	口 丢 
𠲎	口 伐 
𠲏	口 任 
𠲑	半 口 ? 
𠲒	𠇍 口 
𠲓	口 夅 
𠲖	口 衣 
𠲙	口 尸 九 丶 
𠲚	口 孖 
𠲛	口 回 
𠲜	口 爭 
𠲥	口 礼 
𠲮	口 巠 
𠲱	丰 各 
𠲴	口 投 
𠲵	口 劫 
𠲷	口 𦔮 
𠲹	口 忌 
𠲺	口 岌 
𠲻	沂 口 
𠲽	口 佛 
𠲾	口 䀏 
𠲿	口 束 
𠳀	口 甬 
𠳁	口 困 
𠳂	口 𠯑 
𠳃	口 汞 
𠳆	𢦒 口 
𠳇	听 口 
𠳊	可 去 
𠳋	𠀐 㠯 
𠳌	去 可 
𠳎	口 似 
𠳭	口 克 
𠳳	口 呆 
𠳴	口 中 女 
𠳶	口 禾 几 
𠳹	口 床 
𠳼	口 宋 
𠳽	口 穴 丁 
𠳾	口 罕 
𠳿	口 尾 
𠴂	口 努 
𠴄	口 糸 ⺃ 
𠴇	口 兵 
𠴡	口 皃 
𠴢	口 声 
𠴣	口 丷 句 
𠴦	句 主 
𠴨	口 官 
𠴩	口 其 
𠴫	口 叔 
𠴭	口 易 
𠴯	口 丿 巫 
𠴱	口 固 
𠴲	口 沓 
𠴳	口 肴 
𠴵	口 帚 
𠴸	波 口 
𠴹	口 泣 
𠴺	口 𠒆 
𠴻	口 陁 
𠴼	口 到 
𠴾	口 丑 丑 
𠵓	口 ? 
𠵘	口 門 
𠵠	口 一 否 
𠵣	口 軋 
𠵦	吾 午 
𠵨	口 㝵 
𠵩	口 果 
𠵫	口 昂 
𠵬	品 又 
𠵭	口 𦙃 
𠵮	口 牪 
𠵯	口 刮 
𠵳	后 㞋 
𠵷	口 六 允 
𠵸	口 弥 
𠵹	口 岡 
𠵺	口 爫 巴 
𠵻	口 宗 
𠵾	口 画 
𠶜	口 制 
𠶨	口 炙 
𠶫	口 大 氶 
𠶬	吅 一 龷 
𠶰	⺈ 丶 周 
𠶱	可 各 
𠶲	口 厒 
𠶷	咅 中 
𠶸	口 卻 
𠶹	口 紇 
𠶻	口 咠 
𠶾	口 苛 
𠶿	口 羍 
𠷀	口 耎 
𠷁	口 前 
𠷂	口 怠 
𠷃	口 叜 
𠷄	口 𢈊 
𠷅	口 茁 
𠷇	口 施 
𠷈	口 律 
𠷉	口 迦 
𠷊	口 便 
𠷋	口 厚 
𠷌	口 則 
𠷎	𢏚 口 
𠷏	丸 咼 
𠷐	口 恒 
𠷑	口 癹 
𠷒	𫩜 目 
𠷓	甹 只 
𠷖	口 窆 
𠷞	卵 古 
𠷟	口 界 
𠷠	石 戈 口 
𠷢	口 𦈢 亍 
𠷨	口 扁 
𠷸	口 壴 
𠷺	口 勃 
𠷻	哂 寸 
𠷿	口 怎 
𠸁	口 派 
𠸂	口 突 
𠸄	口 英 
𠸍	口 美 
𠸮	甹 号 
𠸱	口 丨 口 示 
𠸲	一 厸 冏 
𠸳	口 陋 
𠸴	口 戈 工 八 
𠸸	口 唇 
𠸹	口 彧 
𠸺	口 逆 
𠹀	口 孫 
𠹁	口 窊 
𠹃	口 盎 
𠹄	口 圅 
𠹅	口 恭 
𠹆	口 眈 
𠹈	吅 里 
𠹊	口 草 
𠹋	口 疾 
𠹌	口 能 
𠹍	口 容 
𠹎	口 烋 
𠹐	口 夎 
𠹑	口 臬 
𠹓	口 戶 缶 
𠹔	口 唐 
𠹕	口 豹 
𠹖	口 展 
𠹘	口 ⺊ 目 夊 
𠹛	口 豈 
𠹝	林 九 口 
𠹟	宀 𠀎 八 口 
𠹠	口 臼 木 
𠹤	口 恚 
𠹥	口 ⺜ 羽 
𠹦	口 比 糸 
𠹭	口 哥 
𠺐	吅 見 
𠺒	口 息 
𠺔	口 𰢱 
𠺕	口 留 
𠺖	口 畝 
𠺗	口 迷 
𠺙	口 退 
𠺚	口 班 
𠺟	口 庫 
𠺢	口 家 
𠺣	口 剝 
𠻍	口 臽 又 
𠻐	口 珞 
𠻙	口 𡇶 
𠻚	莫 口 
𠻜	口 率 
𠻝	品 㐱 
𠻞	口 康 
𠻟	口 桼 
𠻠	口 聆 
𠻡	𣂞 口 
𠻤	口 寅 
𠻥	口 巢 
𠻦	口 𡕩 
𠻧	口 梏 
𠻨	口 堇 
𠻪	口 淡 
𠻫	口 悥 
𠻬	口 荼 
𠻱	口 陵 
𠻳	口 敕 
𠻴	口 朗 
𠼖	口 婪 
𠼗	口 斬 
𠼘	口 五 吾 
𠼝	口 梨 
𠼞	合 亞 
𠼟	口 八 面 
𠼠	口 氏 貝 
𠼡	𢏚 叹 
𠼢	口 強 
𠼤	口 堅 
𠼩	口 崙 
𠼪	口 移 
𠼬	口 商 
𠽜	口 啻 
𠽝	吅 典 
𠽡	口 惠 
𠽣	口 㞚 
𠽦	口 減 
𠽨	口 𡩘 
𠽩	口 筆 
𠽪	口 湆 
𠽫	口 閕 
𠽬	口 貳 
𠽰	口 寔 
𠽱	口 寋 
𠽲	口 釆 皿 
𠽵	口 𧯡 
𠽶	口 毳 
𠽷	口 貲 
𠽹	口 𧦴 
𠽻	口 喆 
𠽼	口 歰 
𠽾	口 普 
𠽿	口 辜 
𠾀	口 𰕎 
𠾆	口 犂 
𠾇	口 厨 
𠾉	𢏚 吋 
𠾋	口 𭪿 
𠾌	口 屰 臼 
𠾏	口 奢 
𠾐	口 隆 
𠾢	口 尌 
𠾤	森 口 
𠾥	哥 令 
𠾨	口 嵌 
𠾩	口 山 曷 
𠾫	口 須 
𠾬	口 欽 
𠾮	口 䆤 
𠾲	口 越 
𠿇	口 解 
𠿈	口 愁 
𠿉	𣪠 口 
𠿋	口 粵 
𠿏	口 煎 
𠿑	口 感 
𠿓	口 䪞 
𠿔	口 彖 心 
𠿕	喬 亢 
𠿗	口 瑟 
𠿘	口 雋 
𠿛	口 虜 
𠿜	口 㼫 
𠿝	口 楚 
𠿞	口 亶 
𠿟	𦥯 口 
𠿠	口 戢 
𠿡	窡 口 
𠿢	口 羨 
𠿣	口 歅 
𠿤	口 鼓 
𠿥	口 𦞅 
𡀇	口 董 
𡀑	口 輈 
𡀖	口 鉢 
𡀗	口 詩 
𡀘	口 嫈 
𡀙	口 窟 
𡀹	口 筫 
𡀺	口 䝱 
𡀽	口 蓋 
𡀾	口 㬎 
𡀿	口 屢 
𡁀	口 𣣻 
𡁁	口 㪡 
𡁆	口 犖 
𡁇	口 綽 
𡁈	口 辡 
𡁉	嗎 中 
𡁊	口 𡠺 
𡁋	口 㥯 
𡁌	口 䯉 
𡁍	口 𣣶 
𡁎	口 與 
𡁏	口 蒙 
𡁓	口 耎 瓦 
𡁔	口 精 
𡁕	口 翣 
𡁧	口 臧 
𡁨	對 口 
𡁪	口 ⺫ 則 
𡁮	口 窩 
𡁰	口 𦂝 
𡁱	口 熙 
𡁳	單 犮 
𡁴	口 團 
𡂊	口 𠆢 淼 
𡂒	口 質 
𡂓	口 適 
𡂕	口 蓼 
𡂖	口 厲 
𡂗	口 隹 冏 
𡂘	口 麃 
𡂙	口 遲 
𡂚	口 𤇾 目 
𡂛	口 門 豆 
𡂝	口 賣 
𡂟	喿 包 
𡂡	口 數 
𡂢	口 鳥 木 
𡂩	口 𦖩 
𡂫	口 蓬 
𡂭	口 辶 庻 
𡂿	口 歐 
𡃂	口 宀 舃 
𡃃	口 緝 
𡃄	口 賚 
𡃅	口 瑩 
𡃆	口 層 
𡃇	口 弊 
𡃈	口 緙 
𡃓	口 播 
𡃖	口 慮 
𡃝	口 論 
𡃡	龍 口 
𡃢	口 暨 
𡃦	口 閵 
𡃩	口 褱 
𡃳	口 興 
𡃵	口 擁 
𡃷	吅 雷 
𡃸	口 此 鳥 
𡄇	口 磬 
𡄑	口 韱 
𡄒	殸 老 口 
𡄓	口 蹇 
𡄔	口 聲 
𡄕	口 燮 
𡄖	口 應 
𡄟	口 霞 
𡄡	口 齋 
𡄢	口 闍 
𡄣	口 彌 
𡄤	口 還 
𡄱	口 蹙 
𡄲	如 嘼 
𡄴	口 巂 
𡄷	口 鞮 
𡄻	壹 咨 
𡅂	口 鵓 
𡅃	口 龎 
𡅄	亭 單 
𡅅	口 額 
𡅆	口 藏 
𡅇	口 叢 
𡅓	口 亠 癶 丫 果 
𡅕	𠶮 𠶮 
𡅖	各 養 
𡅘	口 臘 
𡅙	口 韻 
𡅡	噩 各 
𡅥	口 顛 
𡅭	口 關 
𡅱	㗊 𦰩 
𡅵	口 釋 
𡅶	口 騫 
𡅹	口 京 亶 
𡅺	口 霵 
𡅻	㗊 萈 
𡆆	口 攞 
𡆏	口 𨷖 
𡆕	口 戀 
𡆢	囗 〆 
𡆣	囗 入 
𡆤	囗 二 
𡆥	囗 卜 
𡆦	囗 八 
𡆩	囗 幺 
𡆬	囗 工 
𡆮	囗 士 
𡆯	囗 山 
𡆱	囗 彡 
𡆲	囗 亡 
𡆸	囗 丐 
𡆽	囗 兮 
𡇀	囗 殳 
𡇂	囗 火 
𡇄	囗 双 
𡇅	囗 方 
𡇈	囗 石 
𡇑	囗 㠯 
𡇒	囗 米 
𡇓	囗 至 
𡇖	囗 臣 
𡇚	囗 百 
𡇜	囗 ⾆ 
𡇝	囗 自 
𡇞	囗 合 
𡇟	囗 𢆶 
𡇠	囗 皀 
𡇤	丷 固 
𡇦	囗 龶 女 
𡇧	囗 豆 
𡇩	囗 山 仉 
𡇬	囗 丷 正 
𡇭	囗 女 一 女 
𡇮	囗 甬 
𡇯	囗 束 
𡇰	囗 六 允 
𡇱	囗 石 口 
𡇳	囗 命 
𡇵	囗 宕 
𡇶	龴 囗 合 
𡇷	丷 囗 各 
𡇸	囗 乖 
𡇺	囗 允 灬 
𡇼	囗 曷 
𡇿	囗 剌 
𡈀	囗 亞 
𡈅	固 介 
𡈆	囗 咢 
𡈉	囗 若 
𡈊	囗 馬 
𡈋	𰀉 𡆵 
𡈍	田 𠈌 
𡈎	囗 烏 
𡈏	囗 氣 
𡈐	囗 荅 
𡈒	囗 死 心 
𡈓	囗 真 
𡈗	囗 莫 
𡈙	囗 鳥 
𡈞	囗 𡗜 圭 
𡈠	囗 章 
𡈣	囗 𡬳 
𡈦	囗 堯 
𡈧	𠮛 囗 亞 
𡈮	囗 蓋 
𡈰	囗 語 
𡈴	囗 縣 
𡈵	囗 環 
𡈼	丿 土 
𡈿	土 十 
𡉂	力 土 
𡉄	𠂇 土 
𡉆	土 凵 
𡉇	土 人 
𡉉	土 𠔼 
𡉎	土 工 
𡉐	工 土 
𡉑	土 大 
𡉓	土 女 
𡉗	土 子 
𡉚	㞢 土 
𡉛	土 气 
𡉡	土 厶 人 
𡉦	土 午 
𡉩	土 犬 
𡉪	土 牙 
𡉫	屯 土 
𡉭	土 日 
𡉴	土 戶 
𡉷	巴 土 
𡉸	𠙸 土 
𡉺	土 水 
𡊁	土 卬 
𡊅	弁 土 
𡊉	土 末 
𡊍	土 术 
𡊛	土 去 
𡊝	瓦 土 
𡊞	平 土 
𡊟	土 目 
𡊠	土 甲 
𡊡	土 由 
𡊣	丘 土 
𡊥	丿 ⺃ 𪢴 
𡊧	土 卯 
𡊨	土 玄 
𡊫	土 宂 
𡊭	必 土 
𡊶	土 印 
𡊸	土 戎 
𡊻	土 列 
𡊼	巩 土 
𡋙	土 回 
𡋚	件 土 
𡋟	土 交 
𡋩	彳 士 土 
𡋪	⺊ 𠕀 土 
𡋭	北 冖 土 
𡋯	土 孛 
𡋲	丣 土 
𡌔	土 肖 
𡌚	土 坐 
𡌜	土 𠆢 出 
𡌞	土 尸 𠃌 土 
𡌣	土 ⺫ 七 
𡌤	圭 犬 
𡌦	非 土 
𡌩	土 沓 
𡌪	多 圣 
𡌭	叕 土 
𡌲	圭 句 
𡌴	直 土 
𡍌	土 戔 
𡍍	土 止 止 
𡍐	土 囗 外 
𡍒	土 匋 
𡍡	土 土 夗 
𡍥	土 柴 
𡍦	土 軍 
𡍨	土 度 
𡍪	土 臿 
𡍫	土 則 
𡍮	丿 土 𠈌 
𡍲	土 耷 
𡍶	𦤶 土 
𡍷	土 恒 
𡍻	土 瓮 
𡎁	胡 土 
𡎉	者 土 
𡎊	范 土 
𡎍	土 𧆞 
𡎐	坴 丮 
𡎑	土 彥 
𡎒	活 土 
𡎔	土 屋 
𡎘	土 英 
𡎫	土 𠚏 
𡎬	坐 且 
𡎮	土 屑 
𡎳	弱 土 
𡎺	祝 土 
𡎻	土 座 
𡎾	土 勹 朋 
𡎿	立 尼 土 
𡏀	土 𡌥 
𡏁	土 迴 
𡏖	土 盍 
𡏘	土 夏 
𡏚	土 虒 
𡏛	土 奚 
𡏞	土 冓 
𡏩	𠂤 坐 
𡏪	土 爫 又 木 
𡏭	土 梟 
𡏮	土 巢 
𡏯	土 敗 
𡏲	土 既 
𡏵	而 瓦 土 
𡏼	土 敖 
𡐋	土 曹 
𡐌	土 逐 
𡐒	土 毫 
